id,Geographic Area Name,Estimate!!Gini Index,Margin of Error!!Gini Index
0400000US01,Alabama,0.4859,0.0048
0400000US02,Alaska,0.4322,0.0102
0400000US04,Arizona,0.4613,0.0047
0400000US05,Arkansas,0.4845,0.0073
0400000US06,California,0.4912,0.0017
0400000US08,Colorado,0.4561,0.0044
0400000US09,Connecticut,0.5014,0.0051
0400000US10,Delaware,0.4587,0.0102
0400000US12,Florida,0.4887,0.0025
0400000US13,Georgia,0.4822,0.0036
0400000US15,Hawaii,0.445,0.0092
0400000US16,Idaho,0.4454,0.0106
0400000US17,Illinois,0.4852,0.0028
0400000US18,Indiana,0.4511,0.0041
0400000US19,Iowa,0.4413,0.0052
0400000US20,Kansas,0.4633,0.0062
0400000US21,Kentucky,0.4787,0.006
0400000US22,Louisiana,0.4936,0.0058
0400000US23,Maine,0.4516,0.0073
0400000US24,Maryland,0.4543,0.0038
0400000US25,Massachusetts,0.4875,0.0035
0400000US26,Michigan,0.4679,0.0033
0400000US27,Minnesota,0.4536,0.0035
0400000US28,Mississippi,0.4828,0.0069
0400000US29,Missouri,0.4657,0.0048
0400000US30,Montana,0.4535,0.0101
0400000US31,Nebraska,0.4488,0.0062
0400000US32,Nevada,0.469,0.0072
0400000US33,New Hampshire,0.453,0.0081
0400000US34,New Jersey,0.4836,0.0035
0400000US35,New Mexico,0.4891,0.0079
0400000US36,New York,0.513,0.0028
0400000US37,North Carolina,0.4782,0.0042
0400000US38,North Dakota,0.4427,0.0117
0400000US39,Ohio,0.4667,0.003
0400000US40,Oklahoma,0.4687,0.005
0400000US41,Oregon,0.4582,0.0053
0400000US42,Pennsylvania,0.4747,0.0025
0400000US44,Rhode Island,0.47,0.0101
0400000US45,South Carolina,0.4762,0.0058
0400000US46,South Dakota,0.4445,0.0131
0400000US47,Tennessee,0.4778,0.0047
0400000US48,Texas,0.4822,0.0022
0400000US49,Utah,0.4269,0.0064
0400000US50,Vermont,0.4473,0.0151
0400000US51,Virginia,0.4754,0.0041
0400000US53,Washington,0.4574,0.0036
0400000US54,West Virginia,0.4742,0.008
0400000US55,Wisconsin,0.4483,0.0043
0400000US56,Wyoming,0.4555,0.0203
0400000US72,Puerto Rico,0.5424,0.0082